Version,Change-ratio,Dynamicity,Growth-ratio,Entity-changes,Triple-to-entity-change,Object-updates
1,0.529951,0.553656,1.00087,73513,6.04026,51484
2,0.511204,0.414257,1.10515,74891,6.04058,3315
3,0.527647,0.389695,1.09947,79973,6.05904,5479
4,0.505569,0.311931,1.08785,74148,6.04059,2546
5,0.505485,0.279998,1.0788,74503,6.03872,2616
6,0.447418,0.351581,1.00736,75344,6.04202,52807
7,0.459929,0.306331,1.1172,87749,6.02359,6520
8,0.423312,0.237559,1.06769,79801,5.98055,2701
9,0.455405,0.244233,1.07311,91253,5.98728,2379
10,0.455443,0.224198,1.0668,91554,5.98779,2406
11,0.456728,0.208542,1.06487,92120,5.99127,2391
12,0.198846,0.0966959,1.00043,31380,6.34984,26250
13,0.391895,0.241654,1.02415,92535,5.98876,37942
14,0.378412,0.189645,1.05747,92491,5.9889,2428
15,0.378177,0.17779,1.05738,92218,6.00363,2526
16,0.374419,0.164423,1.05,91212,5.99319,2558
17,0.374751,0.155339,1.04916,91262,5.99374,2568
18,0.374889,0.147091,1.04614,91434,5.99537,2576
19,0.371553,0.138203,1.0439,90115,5.99471,2688
20,0.32614,0.182605,1.00159,92193,6.00234,61639
21,0.304611,0.133064,1.04231,91603,5.99657,2615
22,0.304894,0.127227,1.04105,91754,5.99688,2616
23,0.305324,0.122003,1.04012,92001,5.99823,2612
24,0.30127,0.114854,1.03797,90315,5.99736,2752
25,0.284423,0.0999055,1.04199,80660,5.87933,2747
26,0.30744,0.109071,1.03765,92939,5.97634,1522
27,0.0961516,0.0206435,1.00578,17639,6.98044,8563
28,0.029742,0.00171392,1.00343,710,34.5479,9272
29,0.272398,0.0890443,1.02912,78641,5.99791,3171
30,0.240589,0.118316,1.00063,78937,6.00125,54936
